Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR - Curve,Training Time,Inference Time
plant-margin,GentleBoost,10,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.5125,0.768292683,0.316195488,0.744444444,0.82395247,0.823341204,0.043639541,0.269230769
plant-margin,Gradient boosting,1,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 3, 'learning_rate': 0.3}",0.84375,0.804878049,0.153846154,0.885245902,0.91572858,0.91139512,0.012476742,0.153846154
plant-margin,Gradient boosting,2,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 3, 'learning_rate': 0.3}",0.825,0.865853659,0.718132257,0.85,0.891651032,0.909010692,0.012479722,0.269230769
plant-margin,Gradient boosting,3,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 3, 'learning_rate': 0.3}",0.8625,0.890243902,0.269230769,0.894736842,0.929643527,0.946755477,0.018458068,0.166666667
plant-margin,Gradient boosting,4,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 3, 'learning_rate': 0.3}",0.8625,0.829268293,0.722068071,0.865671642,0.920262664,0.907128922,0.018468499,0.128205128
plant-margin,Gradient boosting,5,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 3, 'learning_rate': 0.3}",0.875,0.707317073,0.166666667,0.888888889,0.938398999,0.932349878,0.012478232,0.08974359
plant-margin,Gradient boosting,6,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 3, 'learning_rate': 0.3}",0.78125,0.768292683,0.768928528,0.861111111,0.883364603,0.891667729,0.012473762,0.205128205
plant-margin,Gradient boosting,7,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 3, 'learning_rate': 0.3}",0.8375,0.804878049,0.128205128,0.912280702,0.918386492,0.923521538,0.006258488,0.128205128
plant-margin,Gradient boosting,8,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 3, 'learning_rate': 0.3}",0.80625,0.841463415,0.816588402,0.857142857,0.898061288,0.90418393,0.012463331,0.217948718
plant-margin,Gradient boosting,9,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 3, 'learning_rate': 0.3}",0.85625,0.87804878,0.08974359,0.897058824,0.929956223,0.93915675,0.012461841,0.179487179
plant-margin,Gradient boosting,10,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 3, 'learning_rate': 0.3}",0.83125,0.768292683,0.732097387,0.855072464,0.901500938,0.904196868,0.012466311,0.153846154
